ASSET ID,LOCATION,LOCATION DESCRIPTION,BBQ TYPE,Location 1,LATITUDE,LONGITUDE
BBQ128,Fyshwick,Molonglo Reach Water Ski,Electric,"(-35.30499, 149.174677)",-35.30499,149.174677
BBQ56,Gungahlin,Yerrabi District Park,Electric,"(-35.179329, 149.130617)",-35.179329,149.130617
BBQ483,Gungahlin,Gungahlin Sportsground,Electric,"(-35.185061, 149.126278)",-35.185061,149.126278
BBQ387,Weston,Dillon Close Pedestrian Parkland,Electric,"(-35.337187, 149.054707)",-35.337187,149.054707
BBQ73,Barton,Telopea Park,Electric,"(-35.314876, 149.137811)",-35.314876,149.137811
BBQ55,Gungahlin,Yerrabi District Park,Electric,"(-35.179209, 149.130852)",-35.179209,149.130852
BBQ426,Yarralumla,Weston Park,Electric,"(-35.293718, 149.093399)",-35.293718,149.093399
BBQ76,Yarralumla,Alexandrina Drive - Pedestrian Parkland,Gas,"(-35.298719, 149.11062)",-35.298719,149.11062
BBQ475,Belconnen,Ginninderra Peninsula District Park West,Electric,"(-35.224587, 149.069131)",-35.224587,149.069131
BBQ131,Harrison,Tanami Street Neighbourhood Park,Electric,"(-35.198422, 149.15792)",-35.198422,149.15792
BBQ427,Yarralumla,Weston Park,Electric,"(-35.292516, 149.093201)",-35.292516,149.093201
BBQ17,City,Glebe Park,Electric,"(-35.281891, 149.13634)",-35.281891,149.13634
BBQ443,Belconnen,John Knight Memorial Park,Electric,"(-35.234384, 149.073355)",-35.234384,149.073355
BBQ15,City,Glebe Park,Electric,"(-35.283536, 149.136387)",-35.283536,149.136387
BBQ389,Forde,Ray Ellis Crescent Town Park,Electric,"(-35.172513, 149.142059)",-35.172513,149.142059
BBQ486,Kingston,Norgrove Neighbourhood Park,Electric,"(-35.315017, 149.14675)",-35.315017,149.14675
BBQ493,Yarralumla,Weston Park,Electric,"(-35.291814, 149.090308)",-35.291814,149.090308
BBQ444,Belconnen,John Knight Memorial Park,Electric,"(-35.234753, 149.073366)",-35.234753,149.073366
BBQ478,Yarralumla,Lennox Gardens,Electric,"(-35.297436, 149.123005)",-35.297436,149.123005
BBQ75,Yarralumla,Alexandrina Drive - Pedestrian Parkland,Gas,"(-35.297866, 149.109266)",-35.297866,149.109266
BBQ492,Franklin,Kilmeny Close Crip Park,Electric,"(-35.198023, 149.143886)",-35.198023,149.143886
BBQ29,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227896, 149.062728)",-35.227896,149.062728
BBQ5,Hughes,Groom Street - Pedestrian Parkland,Wood,"(-35.332875, 149.088974)",-35.332875,149.088974
BBQ33,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.225626, 149.063247)",-35.225626,149.063247
BBQ6,Fisher,Araluen Street Neighbourhood Park,Electric,"(-35.360683, 149.057338)",-35.360683,149.057338
BBQ288,Googong (Rural Dist.),Googong - Tin Hut,Gas,"(-35.497275, 149.258909)",-35.497275,149.258909
BBQ394,Canberra Central (Rural Dist.),Lady Denman Drive Road Verge,Gas,"(-35.297903, 149.071927)",-35.297903,149.071927
BBQ371,New South Wales,Bulls Head Picnic Area,Wood,"(-35.386788, 148.804498)",-35.386788,148.804498
BBQ339,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387667, 148.804038)",-35.387667,148.804038
BBQ50,Belconnen (Rural Dist.),Palmerville Heritage Park,Electric,"(-35.211746, 149.085572)",-35.211746,149.085572
BBQ417,Coree (Rural Dist.),Cotter Campground,Gas,"(-35.325396, 148.948537)",-35.325396,148.948537
BBQ338,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387149, 148.804459)",-35.387149,148.804459
BBQ305,New South Wales,Bulls Head Picnic Area,Wood,"(-35.387256, 148.804313)",-35.387256,148.804313
BBQ499,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289299, 148.875879)",-35.289299,148.875879
BBQ501,Coree (Rural Dist.),Sherwood Homestead,Wood,"(-35.273249, 148.892002)",-35.273249,148.892002
BBQ488,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289676, 148.876109)",-35.289676,148.876109
BBQ498,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.289079, 148.875874)",-35.289079,148.875874
BBQ500,Coree (Rural Dist.),Blue Range Hut,Wood,"(-35.290036, 148.875975)",-35.290036,148.875975
BBQ442,Acton,Acton Park District Park,Electric,"(-35.286194, 149.124418)",-35.286194,149.124418
BBQ441,Acton,Acton Park District Park,Electric,"(-35.28631, 149.124752)",-35.28631,149.124752
BBQ385,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319841, 148.953465)",-35.319841,148.953465
BBQ382,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319802, 148.954079)",-35.319802,148.954079
BBQ320,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319801, 148.954339)",-35.319801,148.954339
BBQ381,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319782, 148.954151)",-35.319782,148.954151
BBQ268,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319832, 148.953385)",-35.319832,148.953385
BBQ503,Greenway,Anketell Street Neighbourhood Park,Electric,"(-35.420223, 149.072795)",-35.420223,149.072795
BBQ502,Greenway,Anketell Street Neighbourhood Park,Electric,"(-35.420154, 149.072762)",-35.420154,149.072762
BBQ504,Rendezvous Creek (Rural Dist.),Namadgi National Park,Gas,"(-35.62875, 148.955817)",-35.62875,148.955817
BBQ506,Moncrieff,Bon Scott Crescent Crip Park,Electric,"(-35.15523, 149.121158)",-35.15523,149.121158
BBQ505,Moncrieff,Bon Scott Crescent Crip Park,Electric,"(-35.155167, 149.121081)",-35.155167,149.121081
BBQ106,Campbell,Rememberance Park,Electric,"(-35.279316, 149.150988)",-35.279316,149.150988
BBQ247,Greenway,Pine Island Central,Electric,"(-35.42755, 149.06019)",-35.42755,149.06019
BBQ105,Campbell,Rememberance Park,Electric,"(-35.279963, 149.150924)",-35.279963,149.150924
BBQ436,Phillip,Edison District Park,Electric,"(-35.341663, 149.090164)",-35.341663,149.090164
BBQ485,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292432, 149.101175)",-35.292432,149.101175
BBQ21,Acton,Black Mountain Peninsula District Park,Electric,"(-35.287142, 149.101337)",-35.287142,149.101337
BBQ23,Acton,Black Mountain Peninsula District Park,Electric,"(-35.291644, 149.100009)",-35.291644,149.100009
BBQ424,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292416, 149.101148)",-35.292416,149.101148
BBQ459,Rendezvous Creek (Rural Dist.),Namadgi National Park Orroral Campground,Gas,"(-35.661977, 148.988857)",-35.661977,148.988857
BBQ416,Rendezvous Creek (Rural Dist.),Orroral Campground,Gas,"(-35.661987, 148.988836)",-35.661987,148.988836
BBQ507,Tennent (Rural Dist.),Namadgi National Park,Wood,"(-35.582893, 148.975994)",-35.582893,148.975994
BBQ509,Tennent (Rural Dist.),Namadgi National Park,Wood,"(-35.582612, 148.974203)",-35.582612,148.974203
BBQ290,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.58285, 148.97475)",-35.58285,148.97475
BBQ508,Tennent (Rural Dist.),Namadgi National Park,Wood,"(-35.583116, 148.97582)",-35.583116,148.97582
BBQ364,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582746, 148.9743)",-35.582746,148.9743
BBQ510,Coree (Rural Dist.),Cotter Campground,Wood,"(-35.32615, 148.947052)",-35.32615,148.947052
BBQ453,Coree (Rural Dist.),Cotter Campground,Gas,"(-35.32612, 148.947145)",-35.32612,148.947145
BBQ512,Kowen (Rural Dist.),Molonglo Gorge Nature Reserve,Wood,"(-35.322245, 149.246597)",-35.322245,149.246597
BBQ515,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.327332, 148.938512)",-35.327332,148.938512
BBQ513,Paddys River (Rural Dist.),Tidbinbilla Hut Pierces Creek Pines,Wood,"(-35.377824, 148.931278)",-35.377824,148.931278
BBQ298,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481069, 148.94005)",-35.481069,148.94005
BBQ311,Coree (Rural Dist.),Swamp Creek,Wood,"(-35.243646, 148.950939)",-35.243646,148.950939
BBQ314,Coree (Rural Dist.),Swamp Creek,Wood,"(-35.243645, 148.950911)",-35.243645,148.950911
BBQ299,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480865, 148.93995)",-35.480865,148.93995
BBQ196,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480779, 148.938339)",-35.480779,148.938339
BBQ148,Paddys River (Rural Dist.),Murrays Corner,Gas,"(-35.363901, 148.952429)",-35.363901,148.952429
BBQ342,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481283, 148.939596)",-35.481283,148.939596
BBQ422,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480831, 148.938879)",-35.480831,148.938879
BBQ297,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481086, 148.940357)",-35.481086,148.940357
BBQ157,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.327466, 148.938638)",-35.327466,148.938638
BBQ270,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480862, 148.940782)",-35.480862,148.940782
BBQ516,Coree (Rural Dist.),Cotter Bend,Electric,"(-35.327317, 148.938498)",-35.327317,148.938498
BBQ195,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481005, 148.938368)",-35.481005,148.938368
BBQ514,Phillip,Edison District Park,Electric,"(-35.34112, 149.091686)",-35.34112,149.091686
BBQ421,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481102, 148.938774)",-35.481102,148.938774
BBQ341,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481169, 148.939647)",-35.481169,148.939647
BBQ271,Paddys River (Rural Dist.),Woods Reserve,Gas,"(-35.480617, 148.938593)",-35.480617,148.938593
BBQ423,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480761, 148.939842)",-35.480761,148.939842
BBQ343,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.480897, 148.93822)",-35.480897,148.93822
BBQ420,Paddys River (Rural Dist.),Woods Reserve,Gas,"(-35.480842, 148.939181)",-35.480842,148.939181
BBQ294,Paddys River (Rural Dist.),Woods Reserve,Wood,"(-35.481066, 148.940249)",-35.481066,148.940249
BBQ200,Stromlo (Rural Dist.),Cotter Reserve - Casuarina Sands,Electric,"(-35.319882, 148.954674)",-35.319882,148.954674
BBQ182,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.322804, 148.941824)",-35.322804,148.941824
BBQ473,Paddys River (Rural Dist.),Gibraltar Falls Reserve,Gas,"(-35.487914, 148.934278)",-35.487914,148.934278
